"ProductId","Image Url","Video Url","Product Desc","Origin Price","Discount Price","Discount","Currency","Commission Rate","Commission","Sales180Day","Positive Feedback","Promotion Url","Code Name","Code Start Time","Code End Time","Code Value","Code Quantity","Code Minimum Spend"
"4000203347368","https://ae04.alicdn.com/kf/S322eca9b0ad149a58da5310e04242a10T.jpg",,"Autumn Sport Jacket Women Long Sleeve Zip Fitness Yoga Shirt Top Workout Gym Activewear Sport Running Coats Training Clothes","USD 26.59","USD 16.22","39%","USD","7","USD 1.14","89","100.0%","https://s.click.aliexpress.com/e/_DliWHWz",,,,,,
"1005005039108203","https://ae04.alicdn.com/kf/S54da953febb6475aa7283dde2ae1eaf19.jpg",,"SKDK Weightlifting Belt Back Support Belt Men Waist Protection Fitness Training Orthopedics Protection Spine Back Support Belt","USD 15.35","USD 9.82","36%","USD","7","USD 0.69","917","96.3%","https://s.click.aliexpress.com/e/_Dm9CHpj",,,,,,
"1005003765047645","https://ae04.alicdn.com/kf/Sf32011a9626644988d48ff055e6071d2s.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/343669089666.mp4","Yoga Set Women Seamless Gym Sport Clothing Energy Seamless Leggings Female Fitness Tracksuit Workout Suit Sports Shirts Crop Top","USD 31.29","USD 11.58","63%","USD","7","USD 0.81","124","97.8%","https://s.click.aliexpress.com/e/_DkWBFmN",,,,,,
"1005003408242193","https://ae04.alicdn.com/kf/S9e196ae606e34022ada38303adb84349V.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100063817086.mp4","Collapsible Telescopic Folding Cane Elder Cane LED With alarm Walking Trusty Sticks Elder Crutches for Mothers the Elder Fathers","USD 32.08","USD 16.04","50%","USD","7","USD 1.12","510","93.7%","https://s.click.aliexpress.com/e/_DeKZXiV",,,,,,
"1005005045674123","https://ae04.alicdn.com/kf/H04a368c42f0946d388b6f90c695ca153T.jpg",,"RISK RL216 Bike Mini Missing Chain Quick Link Tool Bicycle Plier Master Link Remover Connector Opener Lever with Free Chain Hook","USD 3.86","USD 1.89","0%","USD","7","USD 0.13","1600","95.2%","https://s.click.aliexpress.com/e/_DmvUudf",,,,,,
"1005005188108300","https://ae04.alicdn.com/kf/H759e2629efd54cc08c3c1edef6307de7S.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/329702765011.mp4","Heavy Duty Latex Resistance Band Exercise Elastic Band For Sport  Strength Pull Up Assist Band Workout Pilates Fitness Equipment","USD 4.76","USD 1.53","0%","USD","7","USD 0.11","2643","97.5%","https://s.click.aliexpress.com/e/_DCpHbfP",,,,,,
"1005003466833130","https://ae04.alicdn.com/kf/H21f228575f3243b19f31aa159e623e384.jpg",,"Hot Sale Light Running Shoes Men Women Breathable Sneakers Plus Size 47 48 Men's Running Sneakers Walking Jogging Trainers Shoes","USD 13.26","USD 7.82","41%","USD","7","USD 0.55","270","94.7%","https://s.click.aliexpress.com/e/_DDr0xLf",,,,,,
"1005004987611393","https://ae04.alicdn.com/kf/S58bc2ee5090643b28241c25f0c7413a57.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100073490113.mp4","Electric Scooter Bag Accessories Electric Vehicle Bag Waterproof for Xiaomi Scooter Front Bag Bicycle Bag Bike Parts Rainproof","USD 23.03","USD 11.28","51%","USD","7","USD 0.79","1520","94.9%","https://s.click.aliexpress.com/e/_DFSIAip",,,,,,
"1005005038754462","https://ae04.alicdn.com/kf/S8809f1c4fe284c678fe5f69bfadd4e76x.jpg",,"Camping Cookware Kit Outdoor Cooking Set Aluminum Equipment Outdoor Pot Travel Tableware Kitchen Hiking Picnic BBQ","USD 43.73","USD 20.99","52%","USD","7","USD 1.47","789","93.3%","https://s.click.aliexpress.com/e/_DBsXkJF",,,,,,
"1005003470492692","https://ae04.alicdn.com/kf/S82e9f1732582465cbac39bf03cee1265r.jpg",,"Outdoor Keychain Ring Camping Carabiner Military Paracord Cord Rope Camping Survival Kit Emergency Knot Bottle Opener Tools","USD 2.26","USD 1.13","50%","USD","7","USD 0.08","2947","96.5%","https://s.click.aliexpress.com/e/_DFAaYj7",,,,,,
"1005005192900301","https://ae04.alicdn.com/kf/H02205d74e6114ab1bf9c6d0d99eca9a46.jpg",,"Widesea Camping Fishing Folding Chair Tourist Beach Chaise Longue Chair for Relaxing Foldable Leisure Travel Furniture Picnic","USD 58.07","USD 28.49","0%","USD","7","USD 1.99","1491","96.1%","https://s.click.aliexpress.com/e/_DCO3eTL",,,,,,
"1005005172042244","https://ae04.alicdn.com/kf/Sc9bfaa465954497f9c525305cf8c12433.png","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100067632729.mp4","4 Pcs Insoles Patch Heel Pads for Sport Shoes High Heel Anti Wear Foot Pad Cushion Insert Insole Heel Protector Back Sticker","USD 3.41","USD 1.55","0%","USD","7","USD 0.11","246","97.5%","https://s.click.aliexpress.com/e/_De1Lmrj",,,,,,
"1005005196434297","https://ae04.alicdn.com/kf/S2dd14c1b94364b0292fe32378654e3edN.jpg",,"Unisex Barefoot Shoes Gym Sport Running Fitness Sneakers Outdoor Beach Water Sports Upstream Aqua Shoes Men Women Size 35-47","USD 27.29","USD 13.37","51%","USD","7","USD 0.94","1046","93.7%","https://s.click.aliexpress.com/e/_DBXBCcd",,,,,,
"1005001465366033","https://ae04.alicdn.com/kf/H60ae941399bf498f985b73452e009e5eJ.jpg",,"Noeby Topwater Popper Fishing Lure 100 120 150mm Wobbler Artificial Hard Baits Feed Popper for Sea Bass Tuna GT Fishing Lures","USD 10.00","USD 5.00","50%","USD","8.0","USD 0.40","390","97.0%","https://s.click.aliexpress.com/e/_DEuCjeH",,,,,,
"1005002472901945","https://ae04.alicdn.com/kf/Sb5652c3e49f04fb5b8ef2dfb70d3f4c2W.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/306041064573.mp4","Sport Gym Bag Women Fitness Backpack Large Waterproof Multi-Functional Shoes Warehouse Travel Pack Sportsbag Shoulder Bag X347A","USD 53.82","USD 19.91","63%","USD","8.0","USD 1.59","221","93.2%","https://s.click.aliexpress.com/e/_DCZ4W2h",,,,,,
